Question Title,Section,Instructor,Training(Chapter) ,Application,Type,Average Time on Task(HH MM SS),No. of Times Question Presented,% Correct(Guided / Unguided),Correct(Unguided),Correct(Guided),Skipped, 
"	AC Step 1.1.4: Add Records to a Table","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:04:30","	202","	100%","	134","	68","	0","	"
"	AC Step 1.1.4: Add Records to a Table","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:04:45","	156","	100%","	90","	66","	0","	"
"	AC Step 1.1.4: Add Records to a Table","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Access 2019","	SIM5 Question","	00:05:11","	216","	100%","	112","	104","	0","	"
"	AC Step 1.1.4: Add Records to a Table","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Access 2019","	SIM5 Question","	00:05:33","	12","	100%","	6","	6","	0","	"
"	AC Step 1.1.5: Delete Records from a Table","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:29","	156","	100%","	111","	45","	0","	"
"	AC Step 1.1.5: Delete Records from a Table","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:52","	143","	98.6%","	83","	58","	0","	"
"	AC Step 1.1.5: Delete Records from a Table","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:38","	236","	100%","	163","	73","	0","	"
"	AC Step 1.1.5: Delete Records from a Table","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:17","	202","	100%","	165","	37","	0","	"
"	AC Step 1.1.5: Delete Records from a Table","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:39","	156","	100%","	115","	41","	0","	"
"	AC Step 1.1.5: Delete Records from a Table","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Access 2019","	SIM5 Question","	00:01:46","	216","	100%","	150","	66","	0","	"
"	AC Step 1.1.5: Delete Records from a Table","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Access 2019","	SIM5 Question","	00:01:48","	12","	100%","	10","	2","	0","	"
"	AC Step 1.1.6: Use Database Utilities","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:05","	156","	100%","	83","	73","	0","	"
"	AC Step 1.1.6: Use Database Utilities","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:00:58","	143","	99.3%","	70","	72","	1","	"
"	AC Step 1.1.6: Use Database Utilities","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:00","	236","	100%","	147","	89","	0","	"
"	AC Step 1.1.6: Use Database Utilities","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:05","	202","	100%","	165","	37","	0","	"
"	AC Step 1.1.6: Use Database Utilities","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training,Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:08","	156","	100%","	106","	50","	0","	"
"	AC Step 1.1.6: Use Database Utilities","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Access 2019","	SIM5 Question","	00:01:00","	216","	100%","	131","	85","	0","	"
"	AC Step 1.1.6: Use Database Utilities","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 1: Hands-On Exercise 1 Simulation Training","	Access 2019","	SIM5 Question","	00:01:22","	12","	100%","	6","	6","	0","	"
"	AC Step 1.2.1: Use a Selection Filter to Find Exact Matches","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:00:40","	7","	100%","	7","	0","	0","	"
"	AC Step 1.2.1: Use a Selection Filter to Find Exact Matches","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:02:56","	2","	100%","	2","	0","	0","	"
"	AC Step 1.2.1: Use a Selection Filter to Find Exact Matches","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:15","	4","	100%","	3","	1","	0","	"
"	AC Step 1.2.1: Use a Selection Filter to Find Exact Matches","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:58","	46","	95.65%","	38","	6","	0","	"
"	AC Step 1.2.1: Use a Selection Filter to Find Exact Matches","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:02:39","	1","	100%","	1","	0","	0","	"
"	AC Step 1.2.2: Use a Selection Filter to Find Records Containing a Value","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:02:14","	7","	100%","	7","	0","	0","	"
"	AC Step 1.2.2: Use a Selection Filter to Find Records Containing a Value","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:13","	2","	100%","	1","	1","	0","	"
"	AC Step 1.2.2: Use a Selection Filter to Find Records Containing a Value","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:00:56","	4","	100%","	3","	1","	0","	"
"	AC Step 1.2.2: Use a Selection Filter to Find Records Containing a Value","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:54","	46","	97.83%","	41","	4","	1","	"
"	AC Step 1.2.2: Use a Selection Filter to Find Records Containing a Value","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:00:57","	1","	100%","	1","	0","	0","	"
"	AC Step 1.2.3: Use Filter By Form","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:03:15","	7","	100%","	6","	1","	0","	"
"	AC Step 1.2.3: Use Filter By Form","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:04:19","	2","	100%","	1","	1","	0","	"
"	AC Step 1.2.3: Use Filter By Form","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:04:45","	4","	100%","	1","	3","	0","	"
"	AC Step 1.2.3: Use Filter By Form","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:02:52","	46","	97.83%","	28","	17","	1","	"
"	AC Step 1.2.3: Use Filter By Form","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:43","	1","	100%","	1","	0","	0","	"
"	AC Step 1.2.4: Perform Sorts","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:00:24","	7","	100%","	7","	0","	0","	"
"	AC Step 1.2.4: Perform Sorts","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:00:41","	2","	100%","	2","	0","	0","	"
"	AC Step 1.2.4: Perform Sorts","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:00:37","	4","	100%","	4","	0","	0","	"
"	AC Step 1.2.4: Perform Sorts","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:14","	46","	97.83%","	39","	6","	1","	"
"	AC Step 1.2.4: Perform Sorts","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:00:45","	1","	100%","	1","	0","	0","	"
"	AC Step 1.3.1: Create a Database Using a Template","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:30","	7","	100%","	6","	1","	0","	"
"	AC Step 1.3.1: Create a Database Using a Template","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:23","	2","	100%","	2","	0","	0","	"
"	AC Step 1.3.1: Create a Database Using a Template","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:38","	4","	100%","	3","	1","	0","	"
"	AC Step 1.3.1: Create a Database Using a Template","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:30","	46","	97.83%","	40","	5","	1","	"
"	AC Step 1.3.1: Create a Database Using a Template","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:02:31","	1","	100%","	1","	0","	0","	"
"	AC Step 1.3.2: Add Records to a Database Template","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:48","	7","	100%","	7","	0","	0","	"
"	AC Step 1.3.2: Add Records to a Database Template","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:02:19","	2","	100%","	2","	0","	0","	"
"	AC Step 1.3.2: Add Records to a Database Template","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:48","	4","	100%","	3","	1","	0","	"
"	AC Step 1.3.2: Add Records to a Database Template","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:28","	46","	97.83%","	43","	2","	1","	"
"	AC Step 1.3.2: Add Records to a Database Template","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:36","	1","	100%","	1","	0","	0","	"
"	AC Step 1.3.3: Explore and Customize a Database Template","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:25","	7","	100%","	6","	1","	0","	"
"	AC Step 1.3.3: Explore and Customize a Database Template","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:44","	2","	100%","	2","	0","	0","	"
"	AC Step 1.3.3: Explore and Customize a Database Template","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:21","	4","	100%","	3","	1","	0","	"
"	AC Step 1.3.3: Explore and Customize a Database Template","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:20","	46","	95.65%","	39","	5","	1","	"
"	AC Step 1.3.3: Explore and Customize a Database Template","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 1: Simulation Training","	Access 2019","	SIM5 Question","	00:01:04","	1","	100%","	1","	0","	0","	"
"	AC Step 2.1.1: Create a Table in Datasheet View","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 2: Hands-On Exercise 1 Simulation Training,Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:04:38","	152","	100%","	91","	61","	0","	"
"	AC Step 2.1.1: Create a Table in Datasheet View","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:04:58","	142","	99.3%","	84","	57","	0","	"
"	AC Step 2.1.1: Create a Table in Datasheet View","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:05:28","	228","	99.56%","	126","	101","	0","	"
"	AC Step 2.1.1: Create a Table in Datasheet View","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:07:20","	164","	100%","	92","	72","	0","	"
"	AC Step 2.1.1: Create a Table in Datasheet View","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:05:48","	154","	100%","	88","	66","	0","	"
"	AC Step 2.1.1: Create a Table in Datasheet View","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:07:30","	213","	99.53%","	113","	99","	0","	"
"	AC Step 2.1.1: Create a Table in Datasheet View","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:07:13","	12","	100%","	6","	6","	0","	"
"	AC Step 2.1.2: Set a Table's Primary Key","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 2: Hands-On Exercise 1 Simulation Training,Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:00:24","	152","	100%","	146","	6","	0","	"
"	AC Step 2.1.2: Set a Table's Primary Key","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:00:21","	142","	99.3%","	134","	7","	0","	"
"	AC Step 2.1.2: Set a Table's Primary Key","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:00:23","	228","	100%","	208","	20","	0","	"
"	AC Step 2.1.2: Set a Table's Primary Key","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:00:40","	164","	100%","	151","	13","	0","	"
"	AC Step 2.1.2: Set a Table's Primary Key","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:00:31","	154","	100%","	145","	9","	0","	"
"	AC Step 2.1.2: Set a Table's Primary Key","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:00:49","	213","	100%","	181","	32","	0","	"
"	AC Step 2.1.2: Set a Table's Primary Key","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:00:24","	12","	100%","	12","	0","	0","	"
"	AC Step 2.1.3: Work with Field Properties","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 2: Hands-On Exercise 1 Simulation Training,Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:39","	152","	100%","	92","	60","	0","	"
"	AC Step 2.1.3: Work with Field Properties","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:30","	142","	99.3%","	71","	70","	0","	"
"	AC Step 2.1.3: Work with Field Properties","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:19","	228","	100%","	139","	89","	0","	"
"	AC Step 2.1.3: Work with Field Properties","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:34","	154","	100%","	97","	57","	0","	"
"	AC Step 2.1.3: Work with Field Properties","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:35","	164","	100%","	109","	55","	0","	"
"	AC Step 2.1.3: Work with Field Properties","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:42","	213","	99.53%","	119","	93","	0","	"
"	AC Step 2.1.3: Work with Field Properties","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:07:32","	12","	100%","	4","	8","	0","	"
"	AC Step 2.1.4: Create a New Field in Design View","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 2: Hands-On Exercise 1 Simulation Training,Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:12","	152","	100%","	138","	14","	0","	"
"	AC Step 2.1.4: Create a New Field in Design View","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:01","	142","	99.3%","	123","	18","	0","	"
"	AC Step 2.1.4: Create a New Field in Design View","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:07","	228","	99.56%","	195","	32","	0","	"
"	AC Step 2.1.4: Create a New Field in Design View","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:21","	154","	100%","	141","	13","	0","	"
"	AC Step 2.1.4: Create a New Field in Design View","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:13","	164","	100%","	150","	14","	0","	"
"	AC Step 2.1.4: Create a New Field in Design View","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:36","	213","	100%","	165","	48","	0","	"
"	AC Step 2.1.4: Create a New Field in Design View","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:15","	12","	100%","	9","	3","	0","	"
"	AC Step 2.1.5: Modify the Table in Datasheet View","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 2: Hands-On Exercise 1 Simulation Training,Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:00:48","	152","	100%","	146","	6","	0","	"
"	AC Step 2.1.5: Modify the Table in Datasheet View","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:01:01","	142","	99.3%","	128","	13","	0","	"
"	AC Step 2.1.5: Modify the Table in Datasheet View","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:00:53","	228","	100%","	211","	17","	0","	"
"	AC Step 2.1.5: Modify the Table in Datasheet View","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:00:47","	154","	100%","	147","	7","	0","	"
"	AC Step 2.1.5: Modify the Table in Datasheet View","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:00:51","	164","	100%","	159","	5","	0","	"
"	AC Step 2.1.5: Modify the Table in Datasheet View","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:00:56","	213","	100%","	184","	29","	0","	"
"	AC Step 2.1.5: Modify the Table in Datasheet View","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:02:37","	12","	100%","	11","	1","	0","	"
"	AC Step 2.2.1: Import Excel Data","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:41","	151","	100%","	97","	54","	0","	"
"	AC Step 2.2.1: Import Excel Data","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:43","	142","	99.3%","	79","	62","	0","	"
"	AC Step 2.2.1: Import Excel Data","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:04:18","	228","	99.56%","	123","	104","	0","	"
"	AC Step 2.2.1: Import Excel Data","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:47","	154","	99.35%","	101","	52","	1","	"
"	AC Step 2.2.1: Import Excel Data","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 2: Simulation Training","	Access 2019","	SIM5 Question","	00:03:41","	164","	100%","	124","	40","	0","	"
